iter	Passed	Remaining
837	5847	1130
838	5853	1123
839	5860	1116
840	5865	1108
841	5871	1101
842	5877	1094
843	5883	1087
844	5889	1080
845	5895	1073
846	5900	1065
847	5906	1058
848	5912	1051
849	5917	1044
850	5925	1037
851	5932	1030
852	5940	1023
853	5945	1016
854	5950	1009
855	5959	1002
856	5965	995
857	5972	988
858	5978	981
859	5984	974
860	5990	967
861	5997	960
862	6004	953
863	6010	946
864	6016	938
865	6021	931
866	6027	924
867	6033	917
868	6038	910
869	6043	903
870	6049	896
871	6055	888
872	6061	881
873	6067	874
874	6073	867
875	6078	860
876	6086	853
877	6091	846
878	6097	839
879	6103	832
880	6108	825
881	6114	818
882	6120	810
883	6125	803
884	6131	796
885	6136	789
886	6142	782
887	6148	775
888	6153	768
889	6159	761
890	6165	754
891	6170	747
892	6176	740
893	6182	732
894	6187	725
895	6194	718
896	6199	711
897	6204	704
898	6212	697
899	6218	690
900	6223	683
901	6229	676
902	6235	669
903	6240	662
904	6245	655
905	6251	648
906	6257	641
907	6262	634
908	6268	627
909	6274	620
910	6279	613
911	6285	606
912	6291	599
913	6297	592
914	6302	585
915	6309	578
916	6315	571
917	6321	564
918	6327	557
919	6334	550
920	6341	543
921	6347	536
922	6352	529
923	6358	522
924	6363	515
925	6369	508
926	6375	502
927	6380	495
928	6386	488
929	6391	481
930	6397	474
931	6404	467
932	6409	460
933	6415	453
934	6422	446
935	6427	439
936	6433	432
937	6439	425
938	6444	418
939	6450	411
940	6456	404
941	6461	397
942	6470	391
943	6475	384
944	6481	377
945	6486	370
946	6492	363
947	6498	356
948	6503	349
949	6509	342
950	6541	337
951	6553	330
952	6561	323
953	6568	316
954	6573	309
955	6579	302
956	6586	295
957	6591	288
958	6601	282
959	6606	275
960	6612	268
961	6618	261
962	6623	254
963	6633	247
964	6640	240
965	6647	233
966	6652	227
967	6658	220
968	6665	213
969	6670	206
970	6675	199
971	6681	192
972	6688	185
973	6697	178
974	6703	171
975	6708	164
976	6715	158
977	6720	151
978	6726	144
979	6732	137
980	6737	130
981	6744	123
982	6750	116
983	6755	109
984	6762	102
985	6767	96
986	6773	89
987	6779	82
988	6785	75
989	6793	68
990	6798	61
991	6803	54
992	6811	48
993	6816	41
994	6823	34
995	6828	27
996	6833	20
997	6840	13
998	6845	6
999	6850	0
